Temperatura_C,Humedad_Aire_PCT,Humedad_Suelo_PCT,Luz_Analog,Nivel_Tanque_PCT,Bomba_Agua,Luz_UV_PWM
29.6,77.3,78.7,1533,26.4,0,159
29.6,69.1,98.4,1791,12.7,0,143
28.2,69.5,2.0,3294,37.0,0,49
21.5,67.7,69.9,3440,73.9,0,40
22.6,79.3,25.3,3763,29.4,0,20
28.2,73.9,4.0,3489,57.5,1,37
21.8,61.7,40.3,3945,41.6,0,9
20.0,77.3,93.5,546,11.8,0,221
24.7,69.6,1.2,870,33.0,0,200
29.2,61.4,58.8,2150,72.5,0,121
26.4,71.0,50.1,3232,61.2,0,53
24.8,68.3,87.3,1223,12.0,0,178
19.2,77.6,8.4,3231,16.3,0,53
25.4,64.1,68.2,3766,64.1,0,20
29.9,76.5,68.0,864,81.3,0,201
19.7,71.2,66.9,3207,34.9,0,55
24.2,61.1,94.2,1965,59.5,0,132
28.5,79.4,82.3,397,17.1,0,230
26.9,70.3,4.2,1761,31.1,0,145
26.4,65.8,47.1,391,2.0,0,230
26.4,69.4,39.8,3826,76.8,1,16
22.3,77.2,31.0,2153,40.1,0,120
21.5,66.1,45.1,3654,81.6,1,27
27.7,63.9,38.4,1612,70.8,1,154
27.7,62.6,43.2,1077,82.9,1,187
28.4,66.0,97.9,1300,28.6,0,174
29.0,75.6,8.9,2158,18.5,0,120
24.1,69.4,92.2,2271,97.2,0,113
24.0,64.5,48.0,2122,71.7,1,122
27.6,63.3,62.4,2553,83.4,0,96
25.8,66.7,83.0,3085,1.3,0,62
26.4,78.8,36.0,4042,35.4,0,3
27.5,66.9,43.0,2817,74.3,1,79
28.7,79.8,41.0,2529,7.8,0,97
22.1,69.7,37.5,3260,56.7,1,51
22.5,63.6,92.6,363,42.9,0,232
19.1,77.8,82.9,2286,1.8,0,112
24.9,69.2,10.9,1424,23.6,0,166
18.4,74.2,10.8,845,28.5,0,202
23.6,79.7,42.8,3032,11.2,0,66
24.5,61.0,9.9,1327,63.2,1,172
21.4,61.9,61.9,3162,24.2,0,58
25.1,74.4,14.4,391,27.8,0,230
18.4,65.6,52.2,3255,89.8,0,52
18.4,63.7,0.7,1040,46.7,0,190
27.9,60.8,31.7,3012,39.2,0,67
22.3,60.4,67.7,2059,72.4,0,126
19.5,75.5,48.4,3237,91.0,1,53
24.3,62.7,97.8,2046,2.5,0,127
27.2,69.4,87.4,145,44.8,0,245
20.6,72.1,35.9,1305,61.1,1,173
25.5,68.6,4.5,4062,31.9,0,2
19.0,60.5,84.6,1572,77.2,0,157
18.6,75.7,91.1,3653,97.1,0,27
24.4,60.2,82.1,2216,94.3,0,117
24.5,75.2,12.8,2894,26.6,0,74
25.6,77.9,99.8,2217,22.6,0,116
26.7,68.7,25.9,2032,95.7,1,128
29.7,70.7,72.4,764,45.9,0,207
24.2,69.5,90.8,1369,20.8,0,169
21.9,67.8,23.6,498,70.7,1,223
27.5,77.7,90.8,3531,28.4,0,35
21.2,77.9,30.9,3368,26.7,0,45
23.3,66.7,97.6,1966,87.9,0,132
18.9,72.3,28.1,1165,16.2,0,182
18.3,78.5,95.3,2944,6.4,0,71
29.6,79.2,5.4,3856,26.9,0,14
28.0,70.2,70.9,1760,60.7,0,145
26.4,69.1,53.2,3766,12.3,0,20
22.9,65.6,47.8,3804,47.2,0,18
20.1,79.2,22.3,3124,62.7,1,60
19.9,62.9,70.6,117,84.9,0,247
21.0,71.6,19.1,364,23.0,0,232
24.6,65.7,55.3,3742,81.7,0,21
26.6,65.6,25.3,1981,23.5,0,131
25.9,68.1,95.6,135,67.7,0,246
21.4,80.0,2.9,3485,43.1,0,37
29.5,61.1,20.0,1100,11.5,0,186
26.9,71.6,24.2,1871,71.4,1,138
24.7,61.7,41.4,4033,21.8,0,3
25.3,63.1,23.3,2604,17.7,0,92
23.0,68.8,49.1,17,35.8,0,253
21.0,70.2,87.2,1890,65.3,0,137
22.3,65.2,71.2,4012,23.4,0,5
27.1,66.3,58.0,2450,18.4,0,102
18.2,61.7,8.9,204,1.0,0,242
19.4,66.1,69.4,498,47.2,0,223
18.6,79.3,16.6,2371,42.9,0,107
18.5,78.9,78.6,594,23.4,0,218
28.3,66.7,25.0,561,5.4,0,220
26.4,71.4,41.7,1304,42.9,0,173
23.7,78.2,35.0,3237,78.8,1,53
19.2,60.1,85.9,3314,71.5,0,48
23.9,76.2,12.7,3960,86.1,1,8
23.7,79.0,56.6,2526,1.0,0,97
20.1,61.8,14.2,2211,96.6,1,117
23.2,63.2,70.5,2371,34.1,0,107
22.8,79.2,90.5,3639,99.0,0,28
25.4,70.8,43.5,2598,25.3,0,93
25.6,60.3,48.8,2878,47.2,0,75
18.5,65.2,92.7,639,35.4,0,215
22.5,69.0,52.1,1926,35.6,0,135
25.5,73.9,48.8,2681,84.2,1,88
24.0,74.7,57.8,2806,74.6,0,80
28.3,79.9,68.9,3769,99.2,0,20
25.9,65.8,10.7,2255,61.4,1,114
20.0,70.8,82.1,314,46.3,0,235
18.8,70.7,43.6,2351,9.0,0,108
25.7,68.1,7.2,900,99.7,1,198
18.3,63.4,78.6,2286,55.2,0,112
25.0,79.5,37.7,1750,70.0,1,146
29.3,77.1,10.0,803,40.7,0,204
24.9,70.0,63.4,3295,54.8,0,49
22.7,72.1,88.0,3159,94.3,0,58
25.7,64.5,88.8,1560,16.6,0,157
23.5,70.9,95.8,1452,29.2,0,164
24.5,73.9,86.8,1243,15.2,0,177
29.3,70.3,0.2,2322,79.2,1,110
22.6,79.8,38.0,1670,6.2,0,151
29.5,72.2,81.9,2027,8.2,0,128
28.9,67.4,36.6,3001,29.8,0,68
20.3,75.4,60.2,1768,51.4,0,144
18.8,63.4,60.6,2000,40.6,0,130
19.2,67.7,36.5,1089,4.5,0,187
18.2,66.9,90.4,3663,95.7,0,26
19.1,68.6,50.3,1446,95.3,0,164
26.2,75.6,46.5,2302,27.9,0,111
18.9,69.7,99.8,2172,73.2,0,119
21.8,75.9,49.4,1169,57.9,1,182
28.1,71.5,17.8,614,23.7,0,216
18.3,66.8,51.3,2432,26.2,0,103
27.8,76.2,81.4,2494,49.1,0,99
21.4,64.8,77.7,386,41.9,0,230
19.4,64.5,78.9,2430,29.1,0,103
26.4,70.1,70.8,3348,80.8,0,46
25.5,65.2,25.4,1405,48.1,0,167
28.5,60.2,86.2,123,65.5,0,247
26.8,73.0,89.3,3997,18.9,0,6
27.6,70.2,19.4,3338,53.4,1,47
21.4,68.9,13.0,1813,31.8,0,142
20.1,79.3,97.6,3182,52.6,0,56
27.0,71.4,86.8,3452,78.1,0,40
27.7,77.3,89.3,3896,76.9,0,12
29.9,62.8,88.6,1624,35.4,0,153
23.0,71.4,54.2,3970,69.4,0,7
22.5,77.4,64.6,1181,94.1,0,181
27.3,71.7,54.5,727,62.6,0,209
22.1,74.4,5.1,2943,14.8,0,71
29.2,67.4,74.6,3884,68.0,0,13
28.3,61.8,50.5,3619,10.5,0,29
23.1,69.2,64.8,3670,87.2,0,26
27.0,67.9,50.3,1141,51.7,0,183
27.1,77.3,49.2,2375,38.5,0,107
19.2,64.9,17.2,4031,5.7,0,3
28.8,79.3,27.9,2741,38.1,0,84
24.1,79.2,15.9,3139,90.3,1,59
27.9,65.0,19.6,3505,2.1,0,36
21.8,67.0,97.3,358,47.5,0,232
28.7,77.9,15.3,3050,93.1,1,65
22.7,79.3,26.9,3742,39.5,0,21
18.1,68.9,59.1,2844,42.8,0,77
28.9,66.4,61.0,442,57.9,0,227
19.1,70.5,15.4,2211,46.3,0,117
21.8,73.8,79.4,972,16.9,0,194
29.4,65.5,78.5,360,1.9,0,232
29.4,74.7,23.7,2632,61.0,1,91
24.9,61.0,28.9,3190,92.1,1,56
25.6,61.0,93.8,852,10.6,0,201
23.4,67.7,82.6,3058,21.1,0,64
21.5,67.1,69.8,3266,37.0,0,51
21.9,66.3,8.2,1624,80.9,1,153
26.1,69.8,41.8,3928,26.9,0,10
27.0,66.4,55.9,1611,88.2,0,154
27.5,63.8,18.7,1756,5.5,0,145
27.5,66.2,44.8,3722,94.1,1,23
19.1,79.5,60.1,1023,56.1,0,191
23.9,68.2,32.7,1907,65.9,1,136
18.7,68.9,78.1,1930,36.8,0,134
24.6,71.5,84.0,240,78.2,0,240
23.3,79.7,32.4,3580,16.7,0,32
28.7,64.8,83.9,665,4.9,0,213
22.2,73.6,10.4,2612,39.6,0,92
19.4,74.3,83.8,1165,85.4,0,182
19.7,72.1,15.3,2879,75.5,1,75
27.1,61.8,8.3,975,51.7,1,194
25.4,73.5,64.2,2039,57.2,0,128
19.2,61.3,47.2,3977,13.0,0,7
19.0,71.9,90.8,2078,84.1,0,125
26.4,74.8,36.3,222,78.7,1,241
18.9,64.2,28.7,1827,65.6,1,141
27.9,76.8,50.1,2313,46.6,0,110
26.5,60.6,45.6,1305,96.4,1,173
19.0,76.9,34.4,787,87.9,1,205
19.0,69.2,69.4,2428,64.4,0,103
29.8,64.4,76.0,555,37.2,0,220
22.5,62.7,85.3,2109,61.8,0,123
22.4,79.1,97.3,2760,57.5,0,83
27.8,61.5,26.7,846,39.4,0,202
29.4,64.0,71.6,2568,30.7,0,95
29.8,67.0,39.4,1094,40.7,0,186
27.0,72.4,67.7,2649,57.4,0,90
22.5,70.9,47.6,1559,42.8,0,157
19.0,62.5,99.4,139,26.4,0,246
27.3,65.8,72.9,3387,76.1,0,44
24.7,64.8,95.2,1363,53.1,0,170
23.1,64.3,83.5,3959,6.8,0,8
28.9,68.2,90.3,589,36.8,0,218
19.3,74.1,81.4,1749,88.5,0,146
23.9,64.3,45.9,2575,75.5,1,94
18.1,67.3,25.2,540,32.3,0,221
23.6,67.8,37.0,3487,93.8,1,37
18.7,79.5,2.0,3538,7.7,0,34
19.4,79.1,52.4,2422,96.1,0,104
19.4,76.0,50.5,290,24.6,0,236
25.8,64.8,52.5,2090,0.9,0,124
27.0,61.4,97.4,3935,43.4,0,9
25.0,66.3,91.1,3958,35.9,0,8
29.5,65.3,16.2,3124,53.9,1,60
22.5,70.1,36.9,3859,79.7,1,14
21.4,75.6,42.4,3954,84.2,1,8
28.4,77.2,36.1,1255,40.1,0,176
20.7,76.9,79.8,1235,43.0,0,178
29.6,67.2,52.4,7,14.8,0,254
18.1,73.7,57.2,1657,4.8,0,151
29.6,66.3,85.3,482,64.1,0,224
18.5,61.2,80.6,2089,6.4,0,124
28.7,74.0,13.2,332,73.4,1,234
24.3,60.2,71.4,1256,53.9,0,176
29.9,68.2,43.5,3141,19.9,0,59
18.9,66.6,29.5,3950,54.0,1,9
24.6,73.9,5.0,1039,18.3,0,190
29.6,75.3,48.7,2116,43.9,0,123
24.3,66.1,35.5,2100,80.0,1,124
25.6,76.2,25.2,684,46.2,0,212
26.3,65.9,69.5,4018,14.9,0,4
23.5,68.9,76.9,993,72.4,0,193
25.5,74.5,24.5,1797,18.7,0,143
25.0,73.9,4.9,3450,73.9,1,40
28.8,79.7,84.9,1824,47.9,0,141
18.5,64.5,1.0,3534,45.4,0,34
21.4,73.2,93.7,2574,85.1,0,94
29.4,72.2,62.8,1805,70.9,0,142
28.7,78.3,32.2,1702,3.3,0,149
23.5,63.1,24.6,62,29.6,0,251
25.4,75.0,0.9,260,87.1,1,238
21.3,71.4,23.5,3571,1.8,0,32
20.3,65.5,13.8,3192,54.5,1,56
23.6,69.5,61.2,857,72.8,0,201
22.2,66.7,16.7,1263,62.2,1,176
25.0,71.6,52.9,1488,76.1,0,162
18.9,77.8,59.0,1130,72.6,0,184
29.7,71.4,29.8,2030,69.2,1,128
29.8,72.6,3.5,179,82.2,1,243
26.4,70.4,3.7,3087,64.6,1,62
24.4,61.0,2.6,354,40.2,0,232
21.7,64.7,73.9,933,47.2,0,196
27.8,69.8,31.8,3380,71.7,1,44
26.2,66.2,79.6,2774,87.6,0,82
20.0,63.6,43.2,588,27.2,0,218
28.9,70.1,45.3,1760,34.2,0,145
27.9,66.5,51.3,604,93.1,0,217
29.4,65.2,71.3,2228,57.9,0,116
26.7,69.3,27.4,173,17.9,0,244
25.4,62.7,12.2,2401,66.4,1,105
23.0,78.6,55.6,353,99.1,0,233
29.2,77.4,32.7,3290,82.3,1,50
28.4,74.2,44.2,3726,74.6,1,22
18.5,62.1,64.7,1338,20.8,0,171
18.3,75.5,49.4,433,87.6,1,228
22.5,76.2,62.0,2952,52.6,0,71
27.7,75.4,54.4,2329,88.9,0,109
29.8,62.3,74.0,258,33.0,0,238
19.8,72.9,70.6,867,6.2,0,201
25.1,76.7,53.4,2606,47.6,0,92
22.6,71.5,67.9,2052,27.0,0,127
29.6,72.9,87.4,3645,71.5,0,28
28.1,69.2,43.2,2003,95.7,1,130
28.1,70.6,41.3,595,69.1,1,217
23.6,60.7,76.4,1668,88.7,0,151
23.0,72.8,58.3,393,45.3,0,230
21.3,61.6,7.1,335,77.2,1,234
18.7,68.7,89.2,2110,84.3,0,123
28.4,65.9,3.1,3864,71.1,1,14
27.8,70.9,74.8,43,50.8,0,252
30.0,62.7,75.9,2200,62.6,0,118
30.0,73.8,95.3,3997,70.1,0,6
24.7,75.9,5.4,3853,25.3,0,15
27.2,63.3,59.7,853,81.0,0,201
29.3,62.1,42.8,3754,95.0,1,21
28.2,62.9,33.1,3227,46.5,0,54
21.0,77.5,9.0,3549,70.1,1,34
23.4,70.6,56.3,274,73.7,0,237
19.5,69.3,47.9,3429,66.2,1,41
29.4,62.1,10.5,425,54.7,1,228
25.3,73.0,61.2,3603,88.2,0,30
20.7,77.4,73.8,482,44.9,0,224
26.1,76.6,76.7,213,6.1,0,241
25.4,72.5,90.5,2126,84.5,0,122
22.3,61.5,40.9,138,67.4,1,246
19.4,62.2,95.3,949,84.9,0,195
26.1,61.0,86.5,97,13.9,0,248
24.2,65.1,29.7,3960,3.1,0,8
27.3,62.7,15.9,663,93.4,1,213
24.2,65.2,43.5,2245,14.8,0,115
28.2,67.7,40.2,2832,81.0,1,78
24.6,78.9,57.6,2203,82.3,0,117
24.7,72.2,58.3,1073,70.9,0,188
28.5,76.7,75.0,478,13.1,0,225
22.8,74.2,51.0,2275,66.7,0,113
19.6,62.3,10.5,4022,88.9,1,4
18.3,74.7,85.8,3528,42.6,0,35
27.1,65.5,31.0,2569,41.4,0,95
25.4,72.8,97.1,2196,44.3,0,118
26.4,66.8,11.8,1081,8.2,0,187
20.6,80.0,95.8,161,89.2,0,244
19.6,65.3,9.1,2910,86.9,1,73
18.2,65.6,23.1,1500,99.8,1,161
22.2,78.6,4.7,3178,58.5,1,57
25.1,60.5,70.5,1450,75.1,0,164
22.7,73.9,85.0,394,20.3,0,230
23.2,74.5,43.4,800,66.8,1,205
28.8,76.7,92.9,185,65.0,0,243
22.2,79.5,59.0,557,90.1,0,220
24.2,79.5,63.0,1980,83.1,0,131
27.4,61.3,84.5,445,93.8,0,227
22.8,76.4,29.7,3712,86.9,1,23
25.5,72.9,35.4,3988,86.9,1,6
28.3,72.9,90.6,829,6.4,0,203
29.4,62.6,90.1,3519,84.6,0,35
19.8,73.0,97.6,2134,60.7,0,122
29.1,79.6,90.2,1272,38.0,0,175
23.9,78.2,12.7,3912,5.7,0,11
21.1,68.8,82.4,3511,67.8,0,36
23.5,60.8,41.0,3328,32.8,0,47
29.8,67.2,99.1,3348,46.8,0,46
23.9,76.5,47.2,1813,68.2,1,142
21.9,74.0,55.4,2485,91.2,0,100
25.6,69.2,53.0,515,82.5,0,222
20.9,61.1,32.2,1600,45.1,0,155
18.9,68.5,7.5,946,38.8,0,196
19.5,69.4,89.6,1225,24.0,0,178
19.5,78.6,80.3,1598,37.2,0,155
19.8,72.8,14.0,1678,11.1,0,150
19.7,66.2,77.7,755,97.1,0,207
25.7,70.5,62.6,3875,57.4,0,13
20.2,61.3,40.9,2844,12.8,0,77
22.1,79.5,25.4,3251,35.3,0,52
28.8,67.2,86.0,2733,54.7,0,84
23.7,69.6,70.0,324,53.3,0,234
26.0,67.1,54.8,3996,3.6,0,6
20.1,73.7,61.0,2670,95.1,0,88
20.3,73.2,9.1,686,27.5,0,212
18.5,74.3,47.4,1498,1.6,0,161
20.0,65.4,19.4,1688,7.6,0,149
21.3,66.3,20.8,1999,58.0,1,130
20.1,62.5,66.1,2447,13.8,0,102
19.1,73.1,91.1,867,4.2,0,201
19.4,60.8,40.4,216,38.0,0,241
23.5,72.0,20.8,2856,62.3,1,77
20.5,77.4,64.9,3008,11.2,0,67
22.4,77.8,87.1,3524,31.3,0,35
