temp_ambiente,temp_agua,humedad_ambiente,humedad_suelo,intensidad_luz,perfil,uv,riego
39.48,17.95,64.42,28.01,33.7,3,54,1
36.25,16.0,87.24,55.1,95.5,2,206,1
20.2,20.9,88.13,62.47,17.8,1,50,0
41.36,17.46,89.1,31.87,34.3,2,74,1
35.56,19.26,77.23,38.9,48.3,2,104,1
30.17,22.27,75.98,52.69,42.7,1,125,0
32.42,18.8,55.7,71.92,15.9,3,30,1
40.6,24.29,80.47,34.34,15.6,1,40,1
33.75,18.27,86.16,43.69,6.9,3,20,1
38.74,22.25,55.15,66.61,77.7,1,195,0
44.45,15.79,75.17,30.12,97.1,1,241,1
17.57,20.81,75.15,63.82,63.2,2,160,0
42.32,15.93,71.31,61.17,46.2,3,74,1
25.69,18.36,77.91,71.24,95.4,2,241,0
17.42,21.42,68.2,76.39,53.8,3,103,0
37.65,24.22,69.61,36.13,44.0,1,108,1
21.53,20.98,89.65,22.33,90.3,3,174,1
26.17,23.95,66.41,50.1,28.0,2,72,0
28.52,17.28,88.2,40.74,85.9,1,253,0
36.74,19.11,71.93,58.77,93.6,2,202,1
25.12,19.72,52.67,49.39,93.5,3,177,1
43.37,23.03,83.0,70.02,44.2,1,111,0
17.76,23.32,90.32,32.97,81.5,1,237,0
29.73,16.23,90.38,59.46,83.3,3,160,1
37.33,19.12,72.49,45.8,73.7,1,184,1
18.55,16.98,74.2,57.06,24.1,3,46,0
33.02,25.18,69.91,64.58,87.7,3,166,1
34.21,20.43,55.5,55.83,11.7,1,40,0
39.23,21.46,88.27,77.58,77.8,2,168,0
40.95,23.53,92.98,48.92,34.0,1,83,1
30.39,14.46,69.18,58.97,2.2,2,30,1
28.37,25.18,78.03,38.83,22.7,2,56,1
26.63,16.09,67.01,76.51,38.6,2,96,0
37.97,23.5,73.98,27.84,66.3,1,167,1
21.35,17.92,78.99,45.38,76.9,2,197,0
22.24,17.73,61.62,33.01,42.2,2,108,1
27.98,23.38,81.01,68.14,27.8,2,69,0
29.48,17.95,81.93,69.08,6.6,1,40,0
18.34,21.52,68.46,46.12,2.9,3,20,1
22.4,20.0,85.85,45.83,66.7,2,170,0
18.75,24.93,64.27,65.21,80.8,2,205,0
41.83,23.68,70.55,21.02,8.6,1,40,1
32.88,21.49,90.82,55.42,58.9,1,170,0
41.93,19.13,68.27,57.46,64.1,1,157,0
17.63,19.74,82.52,60.41,38.1,3,71,0
39.64,19.04,60.07,23.32,58.4,1,144,1
40.39,23.32,96.48,52.68,48.9,2,105,1
18.63,21.22,83.94,24.16,23.5,1,67,1
22.02,23.53,93.08,31.29,74.6,3,141,1
43.85,22.98,56.39,41.1,42.6,1,108,1
38.85,18.93,58.34,48.51,5.8,2,30,1
21.88,15.09,89.94,42.38,35.2,1,103,0
20.59,15.51,72.33,38.15,55.6,2,143,1
30.46,15.56,70.95,38.12,81.7,2,209,1
31.76,25.17,81.84,31.25,4.5,3,20,1
30.69,23.17,68.7,72.05,40.7,3,77,1
41.31,23.38,72.81,64.61,50.8,2,111,1
32.72,16.92,64.04,33.9,19.3,2,46,1
26.97,23.34,64.12,77.47,90.1,1,255,0
34.29,20.59,52.77,42.09,22.8,1,68,0
42.61,23.81,78.79,75.7,77.2,1,195,0
33.11,25.33,87.53,43.94,82.6,1,242,0
21.74,22.22,72.25,66.56,12.3,2,31,0
22.72,15.37,83.88,26.47,61.5,3,116,1
37.2,15.94,86.75,35.0,67.6,1,168,1
27.95,18.13,64.78,37.04,4.7,3,20,1
40.37,23.86,92.85,65.32,27.3,3,45,1
38.27,18.08,56.46,39.11,84.9,2,184,1
18.13,15.89,56.76,56.14,14.8,2,38,0
18.98,24.63,88.0,48.38,86.1,2,220,0
24.22,17.42,55.32,47.26,72.9,3,139,1
23.96,20.84,70.72,29.41,11.8,1,40,0
41.25,20.14,83.39,44.74,56.0,1,139,1
18.42,20.98,62.53,72.87,78.6,3,149,0
42.98,23.06,96.01,35.64,97.0,1,241,1
20.08,21.5,91.97,64.42,8.2,3,20,0
21.94,15.77,73.6,49.15,83.7,2,214,0
22.28,15.16,82.19,24.02,41.9,2,107,1
35.66,24.73,77.05,62.8,6.2,3,20,1
36.03,24.26,52.01,38.64,42.9,3,71,1
35.42,21.42,54.85,43.8,18.0,3,29,1
43.84,17.17,64.23,69.94,4.9,3,20,1
25.22,15.36,88.45,43.96,43.4,2,113,0
42.09,17.47,90.68,49.12,51.9,1,128,1
40.55,21.77,84.52,39.22,23.4,3,38,1
34.99,21.82,56.54,76.74,18.1,3,29,1
38.43,16.08,77.98,47.36,79.5,2,172,1
16.44,23.31,97.38,27.17,23.8,2,59,1
16.14,21.28,50.58,67.46,31.1,2,78,0
23.46,24.17,68.36,52.64,4.7,1,40,0
38.54,24.19,53.75,46.19,33.1,1,84,1
32.63,22.74,85.1,29.19,14.9,2,38,1
40.2,20.75,65.95,68.48,24.4,2,53,0
22.4,21.76,89.35,59.97,82.5,2,210,0
16.83,24.59,51.48,47.48,50.3,3,96,1
29.55,21.24,82.28,50.15,65.1,3,123,1
39.08,15.35,89.65,23.06,88.6,1,221,1
24.35,16.43,97.48,28.47,16.1,3,29,1
28.99,17.97,87.12,33.08,68.8,1,203,0
30.38,23.97,67.46,47.28,1.5,1,40,0
24.56,21.58,97.31,23.11,89.2,1,255,1
40.9,16.69,91.12,79.81,73.2,3,118,1
35.62,24.62,64.07,19.54,27.2,3,44,1
42.09,23.14,56.34,28.34,81.0,1,202,1
39.15,16.25,51.25,62.18,35.4,3,57,1
19.04,16.19,90.1,78.0,39.9,2,103,0
28.02,22.09,82.9,38.42,13.7,3,25,1
28.1,24.81,53.05,67.34,67.5,1,197,0
22.06,16.03,97.06,26.72,47.8,3,91,1
18.11,15.15,64.86,76.41,51.5,3,100,0
42.44,23.32,78.36,63.73,37.3,3,59,1
42.89,24.81,90.39,37.69,95.9,3,157,1
31.89,22.75,64.26,54.79,33.5,1,101,0
27.35,15.91,94.17,44.4,37.6,3,74,1
28.61,22.85,55.15,31.35,17.9,1,52,0
20.33,22.11,59.81,23.35,55.0,2,140,1
24.54,20.28,84.14,54.87,15.1,1,43,0
40.62,15.51,72.4,57.22,83.5,2,179,1
45.7,18.42,69.07,56.44,80.9,3,130,1
43.53,14.64,97.86,25.02,81.5,1,202,1
19.13,16.25,59.43,47.77,74.3,2,191,0
39.62,20.51,89.74,57.77,78.4,1,195,0
29.25,15.25,88.87,69.61,78.2,1,231,0
21.27,16.77,68.06,22.95,39.8,1,116,1
16.82,20.13,74.65,79.74,20.0,2,51,0
20.84,16.32,55.62,51.6,24.0,1,72,0
21.14,15.57,65.87,65.45,40.7,1,121,0
33.25,16.48,65.43,66.92,43.7,3,83,1
22.73,18.84,70.41,78.23,18.3,2,46,0
17.06,16.96,93.95,72.93,66.0,2,166,0
19.16,16.26,96.42,72.32,91.1,1,255,0
43.88,18.08,61.97,59.96,19.6,3,32,1
31.91,17.62,81.87,53.74,79.2,2,203,1
25.48,19.35,93.68,34.5,8.5,3,20,1
18.11,21.51,75.58,44.43,51.3,2,132,0
34.51,22.91,78.73,37.43,25.2,2,65,1
24.29,20.58,77.65,44.81,62.2,3,117,1
39.63,24.65,51.42,29.26,88.7,3,144,1
16.68,22.29,59.34,27.62,64.9,3,122,1
22.93,22.94,86.86,38.65,40.7,3,78,1
27.0,23.62,57.69,29.92,32.9,3,62,1
24.47,19.28,80.79,64.96,23.5,3,44,1
25.19,22.6,56.08,59.45,63.8,2,163,0
39.01,23.89,64.33,71.32,85.6,2,185,0
35.36,17.41,62.65,38.75,6.8,3,20,1
19.65,21.63,86.42,60.63,25.2,3,48,0
22.64,23.28,83.5,58.09,40.4,1,117,0
19.39,23.15,81.87,61.05,36.7,1,106,0
25.86,15.49,65.97,71.6,23.3,3,44,1
44.19,18.54,67.11,40.54,51.6,2,112,1
17.18,18.43,72.25,47.37,87.2,2,221,0
28.58,19.33,63.2,64.89,51.6,2,130,0
16.24,18.97,77.52,48.58,86.1,2,219,0
19.75,20.09,66.38,42.2,62.7,2,158,0
28.9,21.61,74.94,70.76,87.1,3,165,1
41.42,19.19,90.98,36.53,53.2,1,133,1
15.75,18.04,61.08,33.39,7.0,3,20,1
39.41,22.06,74.93,69.94,33.7,2,73,0
38.67,15.84,79.97,27.64,6.7,3,20,1
21.05,16.11,90.32,49.65,0.9,3,20,1
26.84,18.52,76.52,30.1,70.0,2,176,1
19.05,18.97,88.4,33.51,18.5,3,35,1
20.72,22.6,56.36,79.57,38.9,2,97,0
36.63,23.57,82.3,74.96,81.8,1,204,0
33.61,23.72,68.45,28.28,20.5,3,37,1
36.73,16.83,73.26,47.8,38.4,2,81,1
17.4,21.02,60.71,43.19,8.3,2,30,0
20.6,24.53,59.7,64.68,55.0,3,104,0
25.81,21.01,59.16,73.47,11.5,2,30,0
21.49,23.71,54.61,48.15,69.1,2,176,0
42.58,20.82,85.25,69.23,33.9,3,55,1
37.62,20.14,50.42,24.8,38.6,1,96,1
22.39,15.84,79.91,48.35,2.4,3,20,1
44.28,20.58,78.73,60.93,67.3,1,166,0
19.7,22.54,78.35,63.97,77.5,2,196,0
33.1,19.35,71.85,71.67,33.7,3,65,1
37.42,22.82,56.61,28.53,28.3,2,62,1
44.4,22.37,95.08,51.31,25.9,1,64,0
21.09,22.11,83.15,74.09,58.8,3,111,0
34.07,19.72,75.99,39.79,52.6,2,132,1
29.87,23.57,84.34,68.15,14.5,2,34,0
30.21,15.4,94.57,51.43,61.8,2,156,1
29.3,23.25,56.43,35.21,82.5,2,211,1
16.53,19.4,78.06,54.35,33.8,1,97,0
31.63,17.81,74.06,70.31,69.0,2,174,0
33.69,20.54,61.66,40.72,85.4,3,162,1
31.04,23.67,84.53,20.86,39.9,2,100,1
34.72,24.61,79.7,27.07,30.6,2,78,1
34.1,16.47,66.97,32.49,69.4,1,204,0
38.16,19.28,77.19,21.3,3.0,2,30,1
42.23,18.01,91.37,27.48,93.8,1,233,1
42.28,24.53,50.93,34.81,31.5,1,77,1
44.44,19.27,87.46,46.51,86.8,2,188,1
20.9,17.04,63.92,74.88,22.2,2,58,0
17.92,20.35,92.54,29.07,59.9,2,152,1
30.59,22.69,66.23,51.06,85.8,1,251,0
28.87,19.7,68.28,78.21,69.4,2,177,0
28.02,19.91,89.72,58.97,62.3,2,156,0
21.8,16.51,65.91,76.07,33.9,2,87,0
35.95,20.07,56.27,78.86,63.2,2,137,0
28.98,15.37,88.33,20.64,76.2,1,223,1
44.01,15.08,95.17,22.69,53.9,1,136,1
44.74,15.5,77.7,25.5,15.1,3,25,1
24.12,19.06,89.12,57.53,93.5,3,179,0
35.01,22.74,60.23,72.62,94.9,3,155,1
31.98,22.04,75.0,79.39,61.0,1,179,0
30.22,22.98,63.9,62.63,18.8,1,54,0
41.23,16.06,78.6,71.88,58.0,2,126,0
33.16,22.09,55.92,56.22,55.2,2,140,1
35.15,17.33,84.49,22.09,4.9,1,40,1
22.06,18.27,96.51,45.19,44.3,2,113,0
30.27,24.82,64.32,43.5,68.5,2,175,1
43.49,15.52,58.96,40.53,62.8,2,134,1
22.02,18.12,68.35,78.14,96.1,3,182,0
23.31,19.66,54.51,64.63,1.2,2,30,0
25.51,22.28,88.78,37.11,80.7,3,155,1
28.57,20.98,50.36,36.78,50.8,2,132,1
21.24,19.92,64.03,35.23,46.0,3,88,1
34.12,18.38,92.71,58.75,43.6,1,128,0
34.54,15.73,70.72,37.38,55.9,2,139,1
31.37,22.0,62.5,74.33,43.9,3,83,1
33.64,23.28,84.29,26.06,72.4,1,215,0
39.08,21.35,80.7,80.07,7.4,1,40,0
17.5,18.59,90.58,61.74,45.2,1,134,0
43.46,18.76,93.07,79.32,65.8,2,143,0
34.86,15.73,78.67,72.19,89.9,3,144,1
32.53,16.73,95.49,40.1,44.7,3,85,1
32.76,16.58,58.82,30.56,5.7,3,20,1
22.36,25.54,76.66,37.62,99.2,1,255,0
19.19,15.66,82.6,72.01,95.5,2,245,0
25.6,22.9,54.12,58.94,81.0,2,206,0
16.94,20.65,58.1,62.56,17.6,2,44,0
42.48,24.62,61.35,33.33,75.0,3,122,1
29.42,18.56,97.0,37.43,29.6,2,75,1
43.53,17.17,78.71,33.09,54.3,1,136,1
20.06,16.55,70.03,67.82,14.7,2,36,0
18.99,17.71,56.81,27.86,36.6,2,93,1
41.62,21.28,89.68,79.26,16.2,2,35,0
41.04,17.17,61.59,71.04,81.8,1,203,0
37.34,17.39,52.43,36.6,90.9,1,227,1
35.31,18.51,71.25,25.84,90.2,3,146,1
44.75,17.14,62.61,59.52,96.5,1,240,0
37.19,20.02,60.26,66.96,19.8,1,50,0
44.48,23.43,63.62,24.82,5.7,3,20,1
28.5,22.09,83.78,30.79,36.2,1,105,0
40.77,18.55,68.57,73.65,80.8,2,176,0
16.86,20.83,64.46,46.72,34.6,1,101,0
29.08,20.07,50.83,45.34,71.9,3,137,1
21.4,18.4,70.65,25.13,57.1,1,169,1
34.15,18.8,97.47,49.6,48.9,2,123,1
33.96,16.0,61.01,36.1,83.0,2,212,1
18.5,21.58,71.37,66.53,21.6,3,42,0
16.32,23.77,67.97,58.23,72.0,2,182,0
42.51,15.83,65.89,35.12,99.0,3,160,1
34.39,15.49,60.69,75.77,36.5,1,107,0
38.83,20.87,52.41,57.38,30.3,1,77,0
17.27,15.97,82.73,61.07,33.9,3,65,0
43.92,15.57,57.16,52.37,59.2,2,124,1
23.49,21.92,50.63,21.39,60.0,2,152,1
30.4,22.54,73.65,28.59,64.9,3,123,1
33.41,22.66,77.63,36.16,4.1,2,30,1
19.41,19.36,90.66,71.57,9.6,2,30,0
18.56,20.88,67.66,67.64,22.7,3,44,0
16.56,17.9,70.88,27.34,45.3,1,132,0
31.36,18.89,92.42,50.24,47.3,3,90,1
42.72,23.82,78.6,50.72,55.6,2,120,1
16.54,18.59,75.45,52.81,34.8,1,104,0
37.19,15.99,80.34,34.58,48.5,3,79,1
16.99,23.44,58.73,72.0,34.5,2,89,0
19.63,15.32,77.66,63.37,32.2,2,81,0
18.87,18.69,89.52,71.19,60.4,2,153,0
18.89,15.21,55.86,44.82,93.3,3,178,1
37.68,16.22,87.26,26.89,3.2,2,30,1
20.33,22.94,57.24,39.04,25.3,1,73,0
25.81,19.94,63.05,41.92,16.4,2,40,0
21.42,15.95,96.37,21.12,80.2,2,204,1
18.98,17.14,96.62,20.21,62.9,1,187,1
38.81,21.73,92.25,62.9,24.8,1,60,0
16.55,22.56,66.94,45.05,81.4,3,154,1
32.13,16.19,67.09,70.03,64.7,3,123,1
22.67,22.56,73.95,44.48,16.7,1,49,0
16.12,19.58,74.27,57.09,65.7,3,126,0
42.42,15.45,91.52,40.09,90.8,3,146,1
23.83,18.43,90.51,31.19,81.6,3,158,1
20.32,15.99,76.34,24.91,30.1,3,57,1
18.75,21.93,65.28,67.06,45.7,3,84,0
15.91,18.89,79.08,70.84,89.1,2,226,0
35.44,14.81,78.04,49.96,55.1,1,160,0
35.45,23.67,61.22,78.23,38.8,3,62,1
35.37,16.53,82.84,58.13,80.5,3,130,1
16.99,20.85,94.58,77.91,54.1,1,158,0
34.61,17.72,89.23,58.18,50.3,1,147,0
